;Audio;TIPO;Group_x;ID_leaf_x;PlaylistID;Response;Tratamiento_significado;Delta Time (s);SNR NIST Quick (dB);segmento;Global_Code_LINEABASE;Global_Code_PARENTESCO;Global_Code_ASOCIACION;parentesco;asociacion;riesgo
137;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.0544;35.04;L3;6;46;81;P;A;
138;2;R;5;982126058484301;Gr5_4301_1;si;P-A;0.0234;42.2;L3;6;46;81;P;A;
139;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.0306;11.06;L4;6;46;81;NP;A;
140;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.1658;37.03;L4;6;46;81;NP;A;
141;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.1685;35.98;L4;6;46;81;NP;A;
142;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.1467;37.15;L4;6;46;81;NP;A;
143;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.108;31.37;L4;6;46;81;NP;A;
144;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.0468;25.96;L4;6;46;81;NP;A;
145;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.0773;26.16;L4;6;46;81;NP;A;
146;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.0584;19.78;L4;6;46;81;NP;A;
147;2;O;5;982126058484301;Gr5_4301_1;si;NP-A;0.0545;24.95;L4;6;46;81;NP;A;
148;2;O;5;982126058484301;Gr5_4301_1;si;NP-A;0.0693;21.1;L4;6;46;81;NP;A;
149;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.1472;34.53;L4;6;46;81;NP;A;
150;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.1996;40.41;L4;6;46;81;NP;A;
151;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.1494;36.49;L4;6;46;81;NP;A;
152;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.0954;33.79;L4;6;46;81;NP;A;
153;2;R*;5;982126058484301;Gr5_4301_1;si;NP-A;0.0365;14.05;L4;6;46;81;NP;A;
154;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.1707;37.35;L4;6;46;81;NP;A;
155;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.1805;37.53;L4;6;46;81;NP;A;
156;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.1385;36.09;L4;6;46;81;NP;A;
157;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.1074;29.12;L4;6;46;81;NP;A;
158;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.0714;26.58;L4;6;46;81;NP;A;
159;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.048;16.72;L4;6;46;81;NP;A;
160;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.1464;39.55;L4;6;46;81;NP;A;
161;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.1587;43.1;L4;6;46;81;NP;A;
162;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.1527;42.08;L4;6;46;81;NP;A;
163;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.0914;40.56;L4;6;46;81;NP;A;
164;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.0998;33.53;L4;6;46;81;NP;A;
165;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.1085;37.35;L4;6;46;81;NP;A;
166;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.0731;38.25;L4;6;46;81;NP;A;
167;2;R;5;982126058484301;Gr5_4301_1;si;NP-A;0.0987;34.72;L4;6;46;81;NP;A;
168;2;R*;5;982126058484301;Gr5_4301_1;si;NP-A;0.0175;22.93;L4;6;46;81;NP;A;
169;2;TRAN1;5;982126058484301;Gr5_4301_1;si;SIL;0.201;21.08;SIL;6;46;81;SIL;SIL;
170;2;E*;5;982126058484301;Gr5_4301_1;si;SIL;0.0671;15.15;SIL;6;46;81;SIL;SIL;
171;2;O;5;982126058484301;Gr5_4301_1;si;P-A_D;0.0169;17.83;P1;6;46;81;P;A;D
172;2;O;5;982126058484301;Gr5_4301_1;si;P-A_D;0.042;14.66;P1;6;46;81;P;A;D
173;2;E;5;982126058484301;Gr5_4301_1;si;P-A_D;0.0703;12.8;P1;6;46;81;P;A;D
174;2;R*;5;982126058484301;Gr5_4301_1;si;P-A_D;0.0404;14.76;P1;6;46;81;P;A;D
175;2;E;5;982126058484301;Gr5_4301_1;si;P-A_D;0.0378;12.5;P1;6;46;81;P;A;D
176;2;E;5;982126058484301;Gr5_4301_1;si;P-A_D;0.0605;11.86;P1;6;46;81;P;A;D
177;2;E;5;982126058484301;Gr5_4301_1;si;P-A_D;0.0676;11.65;P1;6;46;81;P;A;D
178;2;E;5;982126058484301;Gr5_4301_1;si;P-A_D;0.0682;12.44;P1;6;46;81;P;A;D
179;2;E;5;982126058484301;Gr5_4301_1;si;P-A_D;0.0464;11.98;P1;6;46;81;P;A;D
180;2;E;5;982126058484301;Gr5_4301_1;si;P-A_D;0.1402;11.96;P1;6;46;81;P;A;D
181;2;R;5;982126058484301;Gr5_4301_1;si;SIL_1;0.0169;24.68;SIL_1;6;46;81;SIL_1;SIL_1;
182;2;R*;5;982126058484301;Gr5_4301_1;si;SIL_1;0.1451;11.75;SIL_1;6;46;81;SIL_1;SIL_1;
183;2;R;5;982126058484301;Gr5_4301_1;si;SIL_1;0.1402;15.45;SIL_1;6;46;81;SIL_1;SIL_1;
184;2;R;5;982126058484301;Gr5_4301_1;si;SIL_1;0.0618;21.2;SIL_1;6;46;81;SIL_1;SIL_1;
185;2;R;5;982126058484301;Gr5_4301_1;si;NP-A_I;0.2356;26.54;P2;6;46;81;NP;A;I
186;2;R;5;982126058484301;Gr5_4301_1;si;NP-A_I;0.1465;22.29;P2;6;46;81;NP;A;I
187;2;R;5;982126058484301;Gr5_4301_1;si;NP-A_I;0.1658;13.05;P2;6;46;81;NP;A;I
188;2;R*;5;982126058484301;Gr5_4301_1;si;NP-A_I;0.0464;11.12;P2;6;46;81;NP;A;I
189;2;E;5;982126058484301;Gr5_4301_1;si;NP-A_I;0.0753;12.63;P2;6;46;81;NP;A;I
190;2;R;5;982126058484301;Gr5_4301_1;si;NP-A_I;0.1816;29.1;P2;6;46;81;NP;A;I
191;2;R;5;982126058484301;Gr5_4301_1;si;NP-A_I;0.1069;23.6;P2;6;46;81;NP;A;I
192;2;R;5;982126058484301;Gr5_4301_1;si;NP-A_I;0.1963;23.04;P2;6;46;81;NP;A;I
193;2;R;5;982126058484301;Gr5_4301_1;si;NP-A_I;0.0829;22.55;P2;6;46;81;NP;A;I
194;2;O;5;982126058484301;Gr5_4301_1;si;NP-A_I;0.0289;21.23;P2;6;46;81;NP;A;I
195;2;R;5;982126058484301;Gr5_4301_1;si;NP-A_I;0.1036;27.84;P2;6;46;81;NP;A;I
196;2;R;5;982126058484301;Gr5_4301_1;si;NP-A_I;0.12;22.47;P2;6;46;81;NP;A;I
197;2;R*;5;982126058484301;Gr5_4301_1;si;NP-A_I;0.0963;19.84;P2;6;46;81;NP;A;I
198;2;R*;5;982126058484301;Gr5_4301_1;si;NP-A_I;0.0376;11.24;P2;6;46;81;NP;A;I
199;2;E;5;982126058484301;Gr5_4301_1;si;SIL_2;0.1052;11.5;SIL_2;6;46;81;SIL_2;SIL_2;
200;2;E;5;982126058484301;Gr5_4301_1;si;SIL_2;0.0769;12.52;SIL_2;6;46;81;SIL_2;SIL_2;
201;2;R;5;982126058484301;Gr5_4301_1;si;SIL_2;0.2875;31.62;SIL_2;6;46;81;SIL_2;SIL_2;
202;2;R;5;982126058484301;Gr5_4301_1;si;SIL_2;0.0965;28.94;SIL_2;6;46;81;SIL_2;SIL_2;
203;2;R*;5;982126058484301;Gr5_4301_1;si;SIL_2;0.0436;13.26;SIL_2;6;46;81;SIL_2;SIL_2;
204;2;R;5;982126058484301;Gr5_4301_1;si;SIL_2;0.2476;31.1;SIL_2;6;46;81;SIL_2;SIL_2;
205;2;R;5;982126058484301;Gr5_4301_1;si;P-A_I;0.1909;29.13;P3;6;46;81;P;A;I
206;2;O;5;982126058484301;Gr5_4301_1;si;P-A_I;0.0224;17.95;P3;6;46;81;P;A;I
207;2;R;5;982126058484301;Gr5_4301_1;si;P-A_I;0.1974;18.23;P3;6;46;81;P;A;I
208;2;R;5;982126058484301;Gr5_4301_1;si;P-A_I;0.0949;23.96;P3;6;46;81;P;A;I
209;2;O;5;982126058484301;Gr5_4301_1;si;P-A_I;0.0131;23.17;P3;6;46;81;P;A;I
210;2;R;5;982126058484301;Gr5_4301_1;si;P-A_I;0.1292;23.97;P3;6;46;81;P;A;I
211;2;R;5;982126058484301;Gr5_4301_1;si;P-A_I;0.055;18.96;P3;6;46;81;P;A;I
212;2;R;5;982126058484301;Gr5_4301_1;si;P-A_I;0.0616;23.02;P3;6;46;81;P;A;I
213;2;O;5;982126058484301;Gr5_4301_1;si;P-A_I;0.0412;26.04;P3;6;46;81;P;A;I
214;2;R;5;982126058484301;Gr5_4301_1;si;P-A_I;0.0829;13.6;P3;6;46;81;P;A;I
215;2;E;5;982126058484301;Gr5_4301_1;si;P-A_I;0.1527;11.6;P3;6;46;81;P;A;I
216;2;E;5;982126058484301;Gr5_4301_1;si;P-A_I;0.0758;12.49;P3;6;46;81;P;A;I
217;2;E;5;982126058484301;Gr5_4301_1;si;P-A_I;0.0513;11.17;P3;6;46;81;P;A;I
218;2;R;5;982126058484301;Gr5_4301_1;si;P-A_I;0.2045;22.6;P3;6;46;81;P;A;I
219;2;R;5;982126058484301;Gr5_4301_1;si;P-A_I;0.12;24.6;P3;6;46;81;P;A;I
220;2;R;5;982126058484301;Gr5_4301_1;si;P-A_I;0.2007;31.32;P3;6;46;81;P;A;I
221;2;R;5;982126058484301;Gr5_4301_1;si;P-A_I;0.1172;27.61;P3;6;46;81;P;A;I
222;2;R;5;982126058484301;Gr5_4301_1;si;P-A_I;0.0879;31.32;P3;6;46;81;P;A;I
223;2;O;5;982126058484301;Gr5_4301_1;si;P-A_I;0.0281;15.03;P3;6;46;81;P;A;I
224;2;R*;5;982126058484301;Gr5_4301_1;si;SIL_3;0.1186;12.21;SIL_3;6;46;81;SIL_3;SIL_3;
225;2;R*;5;982126058484301;Gr5_4301_1;si;SIL_3;0.0431;16.72;SIL_3;6;46;81;SIL_3;SIL_3;
226;2;R;5;982126058484301;Gr5_4301_1;si;SIL_3;0.0166;23.44;SIL_3;6;46;81;SIL_3;SIL_3;
227;2;R;5;982126058484301;Gr5_4301_1;si;SIL_3;0.147;15.98;SIL_3;6;46;81;SIL_3;SIL_3;
228;2;R*;5;982126058484301;Gr5_4301_1;si;SIL_3;0.0327;18.62;SIL_3;6;46;81;SIL_3;SIL_3;
229;2;R;5;982126058484301;Gr5_4301_1;si;SIL_3;0.0237;13.09;SIL_3;6;46;81;SIL_3;SIL_3;
230;2;R;5;982126058484301;Gr5_4301_1;si;NP-A_D;0.1917;15.81;P4;6;46;81;NP;A;D
231;2;R*;5;982126058484301;Gr5_4301_1;si;NP-A_D;0.0851;20.47;P4;6;46;81;NP;A;D
