Group;ID_leaf;PlaylistID;OPCION;L1;L2;L3;L4;SIL;P1;SIL_1;P2;SIL_2;P3;SIL_3;P4;SIL_4;A1;SIL_5;A2;SIL_6;A3;SIL_7;A4
1;9,82126E+14;Gr1_4331-3;2;NAN;NAN;NAN;NAN;NAN;G1;SIL_1;F1;SIL_2;E1;SIL_3;H1;SIL_4;I2;SIL_5;J2;SIL_6;L2;SIL_7;K2
10;9,82126E+14;Gr10_5106-3;2;NAN;NAN;NAN;NAN;NAN;E1;SIL_1;G1;SIL_2;H1;SIL_3;F1;SIL_4;K2;SIL_5;L2;SIL_6;J2;SIL_7;I2
14;9,82126E+14;Gr14_5099-3;2;NAN;NAN;NAN;NAN;NAN;G1;SIL_1;F1;SIL_2;H1;SIL_3;E1;SIL_4;L2;SIL_5;K2;SIL_6;I2;SIL_7;J2
14;9,82091E+14;Gr14_3556-3;2;NAN;NAN;NAN;NAN;NAN;F1;SIL_1;H1;SIL_2;E1;SIL_3;G1;SIL_4;J2;SIL_5;K2;SIL_6;L2;SIL_7;I2
14;9,82126E+14;Gr14_6154-3;2;NAN;NAN;NAN;NAN;NAN;F2;SIL_1;H2;SIL_2;G2;SIL_3;E2;SIL_4;L2;SIL_5;I2;SIL_6;K2;SIL_7;J2
3;9,002E+14;Gr3_9490-3;2;NAN;NAN;NAN;NAN;NAN;H2;SIL_1;G2;SIL_2;F2;SIL_3;E2;SIL_4;L1;SIL_5;K1;SIL_6;J1;SIL_7;I1
3;9,82126E+14;Gr3_4334-3;2;NAN;NAN;NAN;NAN;NAN;H2;SIL_1;E2;SIL_2;G2;SIL_3;F2;SIL_4;I1;SIL_5;K1;SIL_6;L1;SIL_7;J1
3;9,82126E+14;Gr3_4346-3;2;NAN;NAN;NAN;NAN;NAN;E2;SIL_1;F2;SIL_2;H2;SIL_3;G2;SIL_4;L1;SIL_5;I1;SIL_6;K1;SIL_7;J1
11;9,82126E+14;Gr11_5125-3;2;NAN;NAN;NAN;NAN;NAN;F2;SIL_1;G2;SIL_2;H2;SIL_3;E2;SIL_4;I1;SIL_5;K1;SIL_6;L1;SIL_7;J1
4;9,82091E+14;Gr4_3072-3;2;NAN;NAN;NAN;NAN;NAN;H1;SIL_1;G1;SIL_2;F1;SIL_3;E1;SIL_4;I2;SIL_5;J2;SIL_6;L2;SIL_7;K2
4;9,82126E+14;Gr4_6209-3;2;NAN;NAN;NAN;NAN;NAN;E1;SIL_1;G1;SIL_2;H1;SIL_3;F1;SIL_4;J2;SIL_5;I2;SIL_6;L2;SIL_7;K2
